"Code","Attribute","Acronym","Attributetype"
1,"Agency responsible for production","AGENCY","A"
2,"Beacon shape","BCNSHP","E"
3,"Building shape","BUISHP","E"
4,"Buoy shape","BOYSHP","E"
5,"Buried depth","BURDEP","F"
6,"Call sign","CALSGN","S"
7,"Category of airport/airfield","CATAIR","L"
8,"Category of anchorage","CATACH","L"
9,"Category of bridge","CATBRG","L"
10,"Category of built-up area","CATBUA","E"
11,"Category of cable","CATCBL","E"
12,"Category of canal","CATCAN","E"
13,"Category of cardinal mark","CATCAM","E"
14,"Category of checkpoint","CATCHP","E"
15,"Category of coastline","CATCOA","E"
16,"Category of control point","CATCTR","E"
17,"Category of conveyor","CATCON","E"
18,"Category of coverage","CATCOV","E"
19,"Category of crane","CATCRN","E"
20,"Category of dam","CATDAM","E"
21,"Category of distance mark","CATDIS","E"
22,"Category of dock","CATDOC","E"
23,"Category of dumping ground","CATDPG","L"
24,"Category of  fence/wall","CATFNC","E"
25,"Category of ferry","CATFRY","E"
26,"Category of  fishing  facility","CATFIF","E"
27,"Category of  fog signal","CATFOG","E"
28,"Category of  fortified structure","CATFOR","E"
29,"Category of gate","CATGAT","E"
30,"Category of harbour facility","CATHAF","L"
31,"Category of hulk","CATHLK","L"
32,"Category of  ice","CATICE","E"
33,"Category of installation buoy","CATINB","E"
34,"Category of land region","CATLND","L"
35,"Category of landmark","CATLMK","L"
36,"Category of lateral mark","CATLAM","E"
37,"Category of light","CATLIT","L"
38,"Category of marine farm/culture","CATMFA","E"
39,"Category of military practice area","CATMPA","L"
40,"Category of mooring/warping facility","CATMOR","E"
41,"Category of navigation line","CATNAV","E"
42,"Category of obstruction","CATOBS","E"
43,"Category of offshore platform","CATOFP","L"
44,"Category of oil barrier","CATOLB","E"
45,"Category of pile","CATPLE","E"
46,"Category of pilot boarding place","CATPIL","E"
47,"Category of pipeline / pipe","CATPIP","L"
48,"Category of production area","CATPRA","E"
49,"Category of pylon","CATPYL","E"
50,"Category of quality of data","CATQUA","E"
51,"Category of radar station","CATRAS","E"
52,"Category of radar transponder beacon","CATRTB","E"
53,"Category of radio station","CATROS","L"
54,"Category of recommended track","CATTRK","E"
55,"Category of rescue station","CATRSC","L"
56,"Category of restricted area","CATREA","L"
57,"Category of road","CATROD","E"
58,"Category of runway","CATRUN","E"
59,"Category of sea area","CATSEA","E"
60,"Category of shoreline construction","CATSLC","E"
61,"Category of signal station"," traffic","CATSIT"
62,"Category of signal station"," warning","CATSIW"
63,"Category of silo/tank","CATSIL","E"
64,"Category of slope","CATSLO","E"
65,"Category of small craft facility","CATSCF","L"
