"Code","ObjectClass","Acronym"
1,"Administration area (Named)","ADMARE"
2,"Airport / airfield","AIRARE"
3,"Anchor berth","ACHBRT"
4,"Anchorage area","ACHARE"
5,"Beacon cardinal","BCNCAR"
6,"Beacon isolated danger","BCNISD"
7,"Beacon lateral","BCNLAT"
8,"Beacon safe water","BCNSAW"
9,"Beacon special purpose/general","BCNSPP"
10,"Berth","BERTHS"
11,"Bridge","BRIDGE"
12,"Building single","BUISGL"
13,"Built-up area","BUAARE"
14,"Buoy cardinal","BOYCAR"
15,"Buoy installation","BOYINB"
16,"Buoy isolated danger","BOYISD"
17,"Buoy lateral","BOYLAT"
18,"Buoy safe water","BOYSAW"
19,"Buoy special purpose/general","BOYSPP"
20,"Cable area","CBLARE"
21,"Cable overhead","CBLOHD"
22,"Cable submarine","CBLSUB"
23,"Canal","CANALS"
24,"Canal bank","CANBNK"
25,"Cargo transshipment area","CTSARE"
26,"Causeway","CAUSWY"
27,"Caution area","CTNARE"
28,"Checkpoint","CHKPNT"
29,"Coastguard station","CGUSTA"
30,"Coastline","COALNE"
31,"Contiguous zone","CONZNE"
32,"Continental shelf area","COSARE"
33,"Control point","CTRPNT"
34,"Conveyor","CONVYR"
35,"Crane","CRANES"
36,"Current - non - gravitational","CURENT"
37,"Custom zone","CUSZNE"
38,"Dam","DAMCON"
39,"Daymark","DAYMAR"
40,"Deep water route centerline","DWRTCL"
41,"Deep water route part","DWRTPT"
42,"Depth area","DEPARE"
43,"Depth contour","DEPCNT"
44,"Distance mark","DISMAR"
45,"Dock area","DOCARE"
46,"Dredged area","DRGARE"
47,"Dry dock","DRYDOC"
48,"Dumping ground","DMPGRD"
49,"Dyke","DYKCON"
50,"Exclusive Economic Zone","EXEZNE"
51,"Fairway","FAIRWY"
52,"Fence/wall","FNCLNE"
53,"Ferry route","FERYRT"
54,"Fishery zone","FSHZNE"
55,"Fishing facility","FSHFAC"
56,"Fishing ground","FSHGRD"
57,"Floating dock","FLODOC"
58,"Fog signal","FOGSIG"
59,"Fortified structure","FORSTC"
60,"Free port area","FRPARE"
61,"Gate","GATCON"
62,"Gridiron","GRIDRN"
63,"Harbour area (administrative)","HRBARE"
64,"Harbour facility","HRBFAC"
65,"Hulk","HULKES"
66,"Ice area","ICEARE"
67,"Incineration area","ICNARE"
68,"Inshore traffic zone","ISTZNE"
69,"Lake","LAKARE"
70,"Lake shore","LAKSHR"
71,"Land area","LNDARE"
72,"Land elevation","LNDELV"
73,"Land region","LNDRGN"
74,"Landmark","LNDMRK"
75,"Light","LIGHTS"
76,"Light float","LITFLT"
77,"Light vessel","LITVES"
78,"Local magnetic anomaly","LOCMAG"
79,"Lock basin","LOKBSN"
80,"Log pond","LOGPON"
81,"Magnetic variation","MAGVAR"
82,"Marine farm/culture","MARCUL"
83,"Military practice area","MIPARE"
84,"Mooring/warping facility","MORFAC"
85,"Navigation line","NAVLNE"
86,"Obstruction","OBSTRN"
87,"Offshore platform","OFSPLF"
88,"Offshore production area","OSPARE"
89,"Oil barrier","OILBAR"
90,"Pile","PILPNT"
91,"Pilot boarding place","PILBOP"
92,"Pipeline area","PIPARE"
93,"Pipeline overhead","PIPOHD"
94,"Pipeline submarine/on land","PIPSOL"
95,"Pontoon","PONTON"
96,"Precautionary area","PRCARE"
97,"Production / storage area","PRDARE"
98,"Pylon/bridge support","PYLONS"
99,"Radar line","RADLNE"
100,"Radar range","RADRNG"
101,"Radar reflector","RADRFL"
102,"Radar station","RADSTA"
103,"Radar transponder beacon","RTPBCN"
104,"Radio calling-in point","RDOCAL"
105,"Radio station","RDOSTA"
106,"Railway","RAILWY"
107,"Rapids","RAPIDS"
108,"Recommended route centerline","RCRTCL"
109,"Recommended track","RECTRC"
110,"Recommended Traffic Lane Part","RCTLPT"
111,"Rescue station","RSCSTA"
112,"Restricted area","RESARE"
113,"Retro-reflector","RETRFL"
114,"River","RIVERS"
115,"River bank","RIVBNK"
116,"Road","ROADWY"
117,"Runway","RUNWAY"
118,"Sand waves","SNDWAV"
119,"Sea area / named water area","SEAARE"
120,"Sea-plane landing area","SPLARE"
121,"Seabed area","SBDARE"
122,"Shoreline Construction","SLCONS"
123,"Signal station traffic","SISTAT"
124,"Signal station warning","SISTAW"
125,"Silo / tank","SILTNK"
126,"Slope topline","SLOTOP"
127,"Sloping ground","SLOGRD"
128,"Small craft facility","SMCFAC"
129,"Sounding","SOUNDG"
130,"Spring","SPRING"
131,"Square","SQUARE"
132,"Straight territorial sea baseline","STSLNE"
133,"Submarine transit lane","SUBTLN"
134,"Swept Area","SWPARE"
135,"Territorial sea area","TESARE"
136,"Tidal stream - harmonic prediction","TS_PRH"
